eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.9608,0.1528,0
1,0,0.4881,9.7642,0
2,0,0.0000,3.0132,0
3,0,0.0000,4.1316,0
4,0,0.0000,2.4083,0
0,1,0.0000,4.1817,0.9608
1,1,0.7476,0.6174,0
2,1,0.0000,2.8996,0
3,1,0.0000,6.4437,0
4,1,0.0000,7.5694,0
0,2,0.0000,38.7740,0.9608
1,2,0.1643,5.8950,0.5833
2,2,0.6642,0.6454,0
3,2,0.0000,9.0782,0
4,2,0.0000,6.0727,0
0,3,0.0000,23.3067,0.9608
1,3,0.0000,14.4189,0.7476
2,3,0.0000,3.4524,0.6642
3,3,0.4908,0.6636,0
4,3,1.0000,0.6691,0
0,4,0.0000,832.4782,0.9608
1,4,0.0000,374.2397,0.7476
2,4,0.0000,71.3020,0.6642
3,4,0.4908,2.5769,0.0000
4,4,1.0000,0.0066,0
